PID,Trial,Condition,Measure,Response
66,7,Mismatched Hand,Agency,3.0
66,8,Matched Hand,Agency,3.0
66,9,Alien Hand,Agency,3.0
67,1,Mismatched Hand,Agency,2.0
67,2,Matched Hand,Agency,2.0
67,3,Alien Hand,Agency,2.0
67,4,Mismatched Hand,Agency,2.0
67,5,Matched Hand,Agency,2.0
67,6,Alien Hand,Agency,1.0
67,7,Mismatched Hand,Agency,1.0
67,8,Matched Hand,Agency,2.0
67,9,Alien Hand,Agency,1.0
68,1,Alien Hand,Agency,3.0
68,2,Mismatched Hand,Agency,2.0
68,3,Matched Hand,Agency,1.0
68,4,Alien Hand,Agency,1.0
68,5,Mismatched Hand,Agency,1.0
68,6,Matched Hand,Agency,1.0
68,7,Alien Hand,Agency,1.0
68,8,Mismatched Hand,Agency,1.0
68,9,Matched Hand,Agency,1.0
69,1,Mismatched Hand,Agency,3.0
69,2,Matched Hand,Agency,2.0
69,3,Alien Hand,Agency,2.0
69,4,Mismatched Hand,Agency,2.0
69,5,Matched Hand,Agency,2.0
69,6,Alien Hand,Agency,1.0
69,7,Mismatched Hand,Agency,2.0
69,8,Matched Hand,Agency,3.0
69,9,Alien Hand,Agency,-1.0
70,1,Mismatched Hand,Agency,2.0
70,2,Alien Hand,Agency,2.0
70,3,Matched Hand,Agency,3.0
70,4,Mismatched Hand,Agency,2.0
70,5,Alien Hand,Agency,3.0
70,6,Matched Hand,Agency,3.0
70,7,Mismatched Hand,Agency,3.0
70,8,Alien Hand,Agency,3.0
70,9,Matched Hand,Agency,3.0
71,1,Mismatched Hand,Agency,3.0
71,2,Matched Hand,Agency,3.0
71,3,Alien Hand,Agency,3.0
71,4,Mismatched Hand,Agency,2.0
71,5,Matched Hand,Agency,3.0
71,6,Alien Hand,Agency,3.0
71,7,Mismatched Hand,Agency,3.0
71,8,Matched Hand,Agency,3.0
71,9,Alien Hand,Agency,2.0
72,1,Mismatched Hand,Agency,2.0
72,2,Matched Hand,Agency,1.0
72,3,Alien Hand,Agency,1.0
72,4,Mismatched Hand,Agency,1.0
72,5,Matched Hand,Agency,1.0
72,6,Alien Hand,Agency,1.0
72,7,Mismatched Hand,Agency,1.0
72,8,Matched Hand,Agency,1.0
72,9,Alien Hand,Agency,1.0
73,1,Matched Hand,Agency,3.0
73,2,Mismatched Hand,Agency,2.0
73,3,Alien Hand,Agency,2.0
73,4,Matched Hand,Agency,3.0
73,5,Mismatched Hand,Agency,3.0
73,6,Alien Hand,Agency,3.0
73,7,Matched Hand,Agency,3.0
73,8,Mismatched Hand,Agency,3.0
73,9,Alien Hand,Agency,3.0
74,1,Alien Hand,Agency,3.0
74,2,Mismatched Hand,Agency,-1.0
74,3,Matched Hand,Agency,1.0
74,4,Alien Hand,Agency,3.0
74,5,Mismatched Hand,Agency,3.0
74,6,Matched Hand,Agency,3.0
74,7,Alien Hand,Agency,3.0
74,8,Mismatched Hand,Agency,3.0
74,9,Matched Hand,Agency,3.0
75,1,Matched Hand,Agency,3.0
75,2,Mismatched Hand,Agency,2.0
75,3,Alien Hand,Agency,2.0
75,4,Matched Hand,Agency,3.0
75,5,Mismatched Hand,Agency,3.0
75,6,Alien Hand,Agency,3.0
75,7,Matched Hand,Agency,3.0
75,8,Mismatched Hand,Agency,2.0
75,9,Alien Hand,Agency,2.0
76,1,Alien Hand,Agency,2.0
76,2,Mismatched Hand,Agency,3.0
76,3,Matched Hand,Agency,2.0
76,4,Alien Hand,Agency,2.0
76,5,Mismatched Hand,Agency,2.0
76,6,Matched Hand,Agency,2.0
76,7,Alien Hand,Agency,3.0
76,8,Mismatched Hand,Agency,3.0
76,9,Matched Hand,Agency,3.0
77,1,Alien Hand,Agency,2.0
77,2,Matched Hand,Agency,3.0
77,3,Mismatched Hand,Agency,1.0
77,4,Alien Hand,Agency,1.0
77,5,Matched Hand,Agency,3.0
77,6,Mismatched Hand,Agency,1.0
77,7,Alien Hand,Agency,2.0
77,8,Matched Hand,Agency,3.0
77,9,Mismatched Hand,Agency,2.0
78,1,Alien Hand,Agency,3.0
78,2,Mismatched Hand,Agency,3.0
78,3,Matched Hand,Agency,3.0
78,4,Alien Hand,Agency,3.0
78,5,Mismatched Hand,Agency,3.0
78,6,Matched Hand,Agency,3.0
78,7,Alien Hand,Agency,3.0
78,8,Mismatched Hand,Agency,3.0
78,9,Matched Hand,Agency,3.0
79,1,Mismatched Hand,Agency,3.0
79,2,Alien Hand,Agency,3.0
79,3,Matched Hand,Agency,3.0
79,4,Mismatched Hand,Agency,3.0
79,5,Alien Hand,Agency,2.0
79,6,Matched Hand,Agency,3.0
79,7,Mismatched Hand,Agency,3.0
79,8,Alien Hand,Agency,3.0
79,9,Matched Hand,Agency,3.0
80,1,Alien Hand,Agency,3.0
